C‌DIGO OACI;CIAD;NOME;MUNIC‌PIO ATENDIDO;UF;LATITUDE;LONGITUDE
SDAE;SP0053;S‌O PEDRO;S‌O PEDRO;SP;22‌ 35' 1'' S;47‌ 53' 46'' W
SDAG;RJ0010;ANGRA DOS REIS;ANGRA DOS REIS;RJ;22‌ 58' 31'' S;44‌ 18' 26'' W
SDAI;SP0047;AMERICANA;AMERICANA;SP;22‌ 45' 19'' S;47‌ 16' 5'' W
SDAM;SP0037;ESTADUAL DE CAMPOS DOS AMARAIS - PREFEITO FRANCISCO AMARAL;CAMPINAS;SP;22‌ 51' 33'' S;47‌ 6' 29'' W
SDBA;SP0063;BATATAIS;BATATAIS;SP;20‌ 52' 37'' S;47‌ 35' 9'' W
SDBB;SP0018;BEBEDOURO;BEBEDOURO;SP;20‌ 54' 1'' S;48‌ 28' 25'' W
SDBK;SP0019;TANCREDO DE ALMEIDA NEVES;BOTUCATU;SP;22‌ 56' 16'' S;48‌ 28' 5'' W
SDBY;SP0032;BARIRI;BARIRI;SP;22‌ 4' 9'' S;48‌ 42' 23'' W
SDCA;SP0051;CAP‌O BONITO;CAP‌O BONITO;SP;24‌ 2' 1'' S;48‌ 21' 25'' W
SDCG;AM0016;SENADORA EUNICE MICHILES;S‌O PAULO DE OLIVEN‌A;AM;3‌ 28' 9'' S;68‌ 55' 16'' W
SDCO;SP0027;SOROCABA;SOROCABA;SP;23‌ 28' 40'' S;47‌ 29' 24'' W
SDDN;SP0020;PAULINO RIBEIRO DE ANDRADE;ANDRADINA;SP;20‌ 55' 30'' S;51‌ 22' 55'' W
SDDR;SP0021;DRACENA;DRACENA;SP;21‌ 27' 38'' S;51‌ 36' 25'' W
SDEP;SP0052;GERALDO MOACIR BORDON;PRESIDENTE EPIT‌CIO;SP;21‌ 46' 30'' S;52‌ 8' 37'' W
SDET;SP0067;TIET‌;TIET‌;SP;23‌ 6' 17'' S;47‌ 43' 28'' W
