cod_ICAO,CÓDIGO OACI,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE
118,SBSI,MT0002,PRESIDENTE JOÃO BATISTA FIGUEIREDO,SINOP,MT,11° 53' 6'' S,55° 35' 10'' W
119,SBVC,BA0005,GLAUBER DE ANDRADE ROCHA,VITÓRIA DA CONQUISTA,BA,14° 54' 28'' S,40° 54' 53'' W
120,SWGN,TO0002,ARAGUAÍNA,ARAGUAÍNA,TO,7° 13' 42'' S,48° 14' 27'' W
121,SBIH,PA0010,ITAITUBA,ITAITUBA,PA,4° 14' 32'' S,56° 0' 3'' W
122,SBUA,AM0003,SÃO GABRIEL DA CACHOEIRA,SÃO GABRIEL DA CACHOEIRA,AM,0° 8' 53'' S,66° 59' 9'' W
124,SWEI,AM0009,EIRUNEPÉ,EIRUNEPÉ,AM,6° 38' 22'' S,69° 52' 47'' W
125,SIZX,MT0018,JUARA SUL,JUARA,MT,11° 17' 48'' S,57° 32' 56'' W
127,SBAX,MG0008,ROMEU ZEMA,ARAXÁ,MG,19° 33' 47'' S,46° 57' 38'' W
128,SWCA,AM0007,CARAUARI,CARAUARI,AM,4° 52' 17'' S,66° 53' 51'' W
129,SWLB,AM0024,LÁBREA,LÁBREA,AM,7° 16' 44'' S,64° 46' 10'' W
130,SBAA,PA0008,CONCEIÇÃO DO ARAGUAIA,CONCEIÇÃO DO ARAGUAIA,PA,8° 20' 55'' S,49° 18' 11'' W
131,SBBG,RS0010,COMANDANTE GUSTAVO KRAEMER,BAGÉ,RS,31° 23' 27'' S,54° 6' 35'' W
132,SBBH,MG0003,PAMPULHA - CARLOS DRUMMOND DE ANDRADE,BELO HORIZONTE,MG,19° 51' 7'' S,43° 57' 2'' W
133,SBBI,PR0006,BACACHERI,CURITIBA,PR,25° 24' 12'' S,49° 14' 1'' W
134,SBBP,SP0036,ESTADUAL ARTHUR SIQUEIRA,BRAGANÇA PAULISTA,SP,22° 58' 44'' S,46° 32' 14'' W
135,SBBU,SP0017,BAURU,BAURU,SP,22° 20' 42'' S,49° 3' 14'' W
136,SBCD,SC0006,PREFEITO DR. CARLOS ALBERTO DA COSTA NEVES,CAÇADOR,SC,26° 47' 17'' S,50° 56' 24'' W
137,SBCI,MA0003,BRIGADEIRO LYSIAS AUGUSTO RODRIGUES,CAROLINA,MA,7° 19' 14'' S,47° 27' 31'' W
138,SBEK,PA0011,JACAREACANGA,JACAREACANGA,PA,6° 14' 7'' S,57° 46' 33'' W
139,SBFS,RJ0028,FAROL DE SÃO TOMÉ,CAMPOS DOS GOYTACAZES,RJ,22° 1' 50'' S,41° 4' 7'' W
140,SBGM,RO0006,GUAJARÁ-MIRIM,GUAJARÁ-MIRIM,RO,10° 47' 18'' S,65° 16' 54'' W
141,SBGW,SP0076,GUARATINGUETÁ,GUARATINGUETÁ,SP,22° 47' 30'' S,45° 12' 16'' W
142,SBIC,AM0012,ITACOATIARA,ITACOATIARA,AM,3° 7' 35'' S,58° 28' 54'' W
143,SBJD,SP0031,COMANDANTE ROLIM ADOLFO AMARO,JUNDIAÍ,SP,23° 10' 54'' S,46° 56' 37'' W
144,SBJF,MG0016,FRANCISCO DE ASSIS,JUIZ DE FORA,MG,21° 47' 35'' S,43° 23' 8'' W
145,SBJH,SP1176,SÃO PAULO CATARINA AEROPORTO EXECUTIVO,SÃO ROQUE,SP,23° 25' 37'' S,47° 9' 57'' W
146,SBJR,RJ0005,JACAREPAGUÁ - ROBERTO MARINHO,RIO DE JANEIRO,RJ,22° 59' 15'' S,43° 22' 12'' W
147,SBLP,BA0037,BOM JESUS DA LAPA,BOM JESUS DA LAPA,BA,13° 15' 41'' S,43° 24' 27'' W
